plays,duration,caption,mentions,hashtags,likes,comments,views,hour,day
98264.0,20.431,"Deontay Wilder’s right hand is out of this world ⚔️👽 

#QueensberryVsMatchroom | June 1 | Live on DAZN: Click link in bio to buy. 

#5vs5 | #RiyadhSeason | @turkialalshik",1,3,10439.0,96.0,20250.0,21,Monday
13553.0,6.066,…,0,22,677.0,10.0,3406.0,22,Monday
40425.0,10.3,I am speed…,0,0,2011.0,22.0,16248.0,20,Saturday
450969.0,55.866,"“Когда руки в кp0Bи, запачкаться деpьMoм не проблема” - @aitym о продажных блогерах и журналистах, атаках и аморальных действиях защиты #Бишимбаев Смотрите выпуск на канале и помогите рассказать эту историю другим вашими репостами. 
#засалтанат #салтанат",1,3,5256.0,93.0,128065.0,7,Saturday
5733459.0,85.4,"15.05.1992 - ♾️❤️
С днем рождения Салтик. 

Твой Тошанчик.",0,0,330885.0,13897.0,2215143.0,19,Tuesday
341432.0,6.166,Don’t…,0,0,3555.0,39.0,25846.0,22,Friday
1037082.0,56.1,"In his first English interview Aitbek Amangeldy - Saltanat Nukenova’s brother reflects on Bishimbayev’s verdict, the main motive of the murderer and the pivotal moment when he decided he was not gonna let the victim leave the restaurant alive, as well as contemplating on the way we treat women in our culture and how this trial and Saltanat’s Law might help change that. Please help us spread this video among English speakers. Watch on: Timur Balymbetov YouTube channel. @aitym 
#bishimbayev #saltanatnukenova #aitym #kazakhstan",1,4,27224.0,1111.0,282558.0,11,Thursday
1431722.0,7.866,🩵,0,0,50578.0,716.0,365465.0,16,Saturday
755448.0,11.066,ok💀,0,0,23877.0,285.0,199489.0,13,Monday
1059313.0,59.333,"«Они пытались скрыть үbийcтв0 и вывезти тело» - сказал @aitym в новом и первом после суда интервью, в котором он попытался ответить на все оставшиеся вопросы. Смотрите на ютуб-канале Timur Balymbetov",1,0,20797.0,572.0,330915.0,4,Thursday
1499243.0,57.833,"Это первое интервью @aitym после оглашения вердикта. Многим из нас не давали покоя «хвосты» и вопросы без ответов, оставшиеся после суда. В этом разговоре Айтбек поделился мыслями о Насырбековой, расшифровал аббр. ПНГПП, подробнее рассказал об источнике информации о сбитом ребенке и о каких решениях во время процесса он жалеет. Это и многое другое в эксклюзивном интервью брата Салтанат сегодня в 18:00 на ютуб-канале Timur Balymbetov. Ссылка будет в профиле и сториз",1,0,26782.0,728.0,369167.0,12,Tuesday
6128.0,182.016,"Listen in as the proprietors of Ganesh Transline share their experience with Ashok Leyland vehicles.

#AshokLeyland #KoiManzilDoorNahin #AshokLeylandIndia #AshokLeylandOfficial",0,4,295.0,2.0,1410.0,8,Thursday
4165953.0,22.133,0,0,0,160113.0,1762.0,1887549.0,15,Sunday
23970376.0,155.655,The dream of a lifetime. #WickedMovie trailer Wednesday.,0,1,904759.0,10480.0,4879593.0,17,Monday
65701.0,6.066,Why…,0,0,1525.0,18.0,17179.0,20,Sunday
443234.0,8.335,0,0,0,17139.0,296.0,94512.0,13,Monday
45634570.0,32.433,"2023.12.31 

한 해 알차게 보낸 것 같아요. 사진첩을 들여다보니 올 한해동안 제가 생각했던 것 보다 더 많이 웃었구나 싶더라고요. 가끔은 웃었던 날들 보다 불행했던 날들이 더 많이 생각이 나는것 같은데, 그래서 내년에는 즐거운 순간들, 힘든 순간들, 행복한 순간들, 전부 다 영상으로 더 많이 담아보려고요. 이렇게 영상들을 짧게 모아서 보니 제가 하루하루 가지각색의 나날들을 보내며 느꼈던 수만가지의 감정들은 26살이 느낄수 있는 가장 자연스러운 감정들이었고 그 어느 감정 하나 빠져서는 안되는 감정들이었구나 싶더라고요. 제 자신에 대해서 많이 배우고 성장 한 것 같습니다. 
여러분도 올 한해 정말 고생 많았고 사랑합니다❤️
#2024가즈아",0,1,4758197.0,53676.0,12310439.0,9,Sunday
8353.0,73.12,"Relive the highlights of the Global Conference 2024 in Istanbul, filled with inspiring talks and honoring excellence!

#AshokLeyland #KoiManzilDoorNahin #AshokLeylandIndia #AshokLeylandOfficial",0,4,412.0,6.0,2429.0,14,Tuesday
