views,duration,caption,verified_status,likes,comments,shares,downloads
343296.0,59,someone shared with me that drone deliveries are already happening and will become common by 2025,0,19425.0,0.0,241.0,1.0
140877.0,32,someone shared with me that there are more microorganisms in one teaspoon of soil than people on the planet,0,77355.0,684.0,19034.0,1161.0
902185.0,31,"someone shared with me that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",0,97690.0,329.0,2858.0,833.0
437506.0,25,"someone shared with me that the metro of st. petersburg, with an average depth of hundred meters, is the deepest metro in the world",0,239954.0,584.0,34812.0,1234.0
56167.0,19,someone shared with me that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,0,34987.0,152.0,4110.0,547.0
336647.0,35,someone shared with me that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,0,175546.0,1857.0,62303.0,4293.0
750345.0,16,someone shared with me that elvis presley has sold more records than the music band the beatles,0,486192.0,5446.0,193911.0,8616.0
547532.0,41,"someone shared with me that the best selling single of all time is ""white christmas"" by bing crosby",0,1072.0,11.0,50.0,22.0
24819.0,50,someone shared with me that about half of the world's population can access the web via a mobile device,0,10160.0,27.0,1050.0,53.0
931587.0,45,someone shared with me that it would take a 50 petabyte drive to store every written work ever created,1,171051.0,2540.0,67739.0,4104.0
695641.0,47,someone shared with me that an average user spends 40% of their day on the internet,0,238030.0,378.0,23062.0,1719.0
482046.0,30,someone shared with me that the world generates 2.5 quintillion bytes of data every day,0,168107.0,532.0,19474.0,3282.0
700081.0,51,someone shared with me that the longest recorded cricket match lasted 14 days,0,434565.0,1411.0,97995.0,2408.0
929685.0,20,"someone shared with me that 1920 was the last time the event ""tug-of-war"" was played in the summer olympics",0,497236.0,805.0,154917.0,1225.0
937231.0,42,someone shared with me that american basketball legend wilt chamberlain never fouled out of a game,0,237318.0,960.0,81496.0,1867.0
746186.0,10,"someone shared with me that the city with the largest bus network in the world is jakarta, indonesia",0,193.0,0.0,29.0,2.0
923007.0,11,someone shared with me that a dog’s sense of smell is much more powerful than a human's,0,67714.0,536.0,17710.0,845.0
467702.0,27,"someone shared with me that a common garden snail has over 12,000 teeth",0,40435.0,327.0,2804.0,495.0
168594.0,11,someone shared with me that we only see the same side of the moon,0,105245.0,694.0,37929.0,1723.0
249935.0,34,someone shared with me that the moon was once part of the earth,0,20437.0,70.0,2240.0,212.0
